timestamp,no,src_ip,dst_ip,protocol,src_port,dst_port,length,flags,info,http_method,http_host,http_path,http_status,credentials_str,ttl,is_suspicious
16:02:36.157,796,192.168.1.10,142.251.20.136,HTTPS,50099,443,74,,HTTPS packet,,,,,,128,False
16:02:36.162,797,192.168.1.10,57.144.149.32,HTTPS,60121,443,123,PSH ACK,"[PSH,ACK] Seq=73299130 Ack=3415959946",,,,,,128,False
16:02:36.183,798,142.251.20.136,192.168.1.10,HTTPS,443,50099,253,,HTTPS packet,,,,,,59,False
16:02:36.184,799,142.251.20.136,192.168.1.10,HTTPS,443,50099,63,,HTTPS packet,,,,,,59,False
16:02:36.185,800,192.168.1.10,142.251.20.136,HTTPS,50099,443,77,,HTTPS packet,,,,,,128,False
16:02:36.196,801,142.250.203.1,192.168.1.10,HTTPS,443,64440,1292,,HTTPS packet,,,,,,60,False
16:02:36.206,802,57.144.149.32,192.168.1.10,HTTPS,443,60121,54,ACK,[ACK] Seq=3415959946 Ack=73299199,,,,,,89,False
16:02:36.222,803,192.168.1.10,23.155.129.172,HTTP,60168,80,66,SYN,[SYN] Seq=2050471176,,,,,,128,False
16:02:36.225,804,142.250.203.1,192.168.1.10,HTTPS,443,64440,1292,,HTTPS packet,,,,,,60,False
16:02:36.227,805,142.250.203.1,192.168.1.10,HTTPS,443,64440,327,,HTTPS packet,,,,,,60,False
16:02:36.228,806,142.250.203.1,192.168.1.10,HTTPS,443,64440,1007,,HTTPS packet,,,,,,60,False
16:02:36.231,807,192.168.1.10,142.250.203.1,HTTPS,64440,443,1292,,HTTPS packet,,,,,,128,False
16:02:36.234,808,192.168.1.10,142.250.203.1,HTTPS,64440,443,73,,HTTPS packet,,,,,,128,False
16:02:36.238,809,142.250.203.1,192.168.1.10,HTTPS,443,64440,68,,HTTPS packet,,,,,,60,False
16:02:36.239,810,142.250.203.1,192.168.1.10,HTTPS,443,64440,66,,HTTPS packet,,,,,,60,False
16:02:36.241,811,142.250.203.1,192.168.1.10,HTTPS,443,64440,226,,HTTPS packet,,,,,,60,False
16:02:36.242,812,192.168.1.10,142.250.203.1,HTTPS,64440,443,73,,HTTPS packet,,,,,,128,False
16:02:36.250,813,192.168.1.10,142.251.154.119,HTTPS,62899,443,469,,HTTPS packet,,,,,,128,False
16:02:36.266,814,142.250.203.1,192.168.1.10,HTTPS,443,64440,162,,HTTPS packet,,,,,,60,False
16:02:36.283,815,192.168.1.10,104.29.142.22,UDP,52281,19316,70,,UDP packet,,,,,,128,True
16:02:36.294,816,192.168.1.10,142.250.203.1,HTTPS,64440,443,74,,HTTPS packet,,,,,,128,False
16:02:36.297,817,142.251.154.119,192.168.1.10,HTTPS,443,62899,73,,HTTPS packet,,,,,,61,False
16:02:36.309,818,192.168.1.10,142.251.154.119,HTTPS,62899,443,75,,HTTPS packet,,,,,,128,False
16:02:36.310,819,104.29.142.22,192.168.1.10,UDP,19316,52281,86,,UDP packet,,,,,,58,False
16:02:36.313,820,192.168.1.10,104.29.142.22,UDP,52281,19316,142,,UDP packet,,,,,,128,True
16:02:36.353,821,142.251.20.136,192.168.1.10,HTTPS,443,50099,66,,HTTPS packet,,,,,,59,False
16:02:36.374,822,23.155.129.172,192.168.1.10,HTTP,80,60167,66,SYN ACK,"[SYN,ACK] Seq=2671872841 Ack=427238448",,,,,,117,False
16:02:36.375,823,192.168.1.10,23.155.129.172,HTTP,60167,80,54,ACK,[ACK] Seq=427238448 Ack=2671872842,,,,,,128,False
16:02:36.377,824,192.168.1.10,23.155.129.172,HTTP,60167,80,590,PSH ACK,GET vbsca.ca/login/login.asp,GET,vbsca.ca,/login/login.asp,,,128,False
16:02:36.399,825,57.144.149.32,192.168.1.10,HTTPS,443,60121,125,PSH ACK,"[PSH,ACK] Seq=3415959946 Ack=73299199",,,,,,89,False
16:02:36.406,826,104.29.142.22,192.168.1.10,UDP,19316,52281,218,,UDP packet,,,,,,58,False
16:02:36.436,827,192.168.1.10,142.250.203.1,HTTPS,64440,443,255,,HTTPS packet,,,,,,128,False
16:02:36.445,828,192.168.1.10,57.144.149.32,HTTPS,60121,443,54,ACK,[ACK] Seq=73299199 Ack=3415960017,,,,,,128,False
16:02:36.462,829,142.251.154.119,192.168.1.10,HTTPS,443,62899,1287,,HTTPS packet,,,,,,61,False
16:02:36.464,830,142.251.154.119,192.168.1.10,HTTPS,443,62899,1085,,HTTPS packet,,,,,,61,False
16:02:36.466,831,142.251.154.119,192.168.1.10,HTTPS,443,62899,166,,HTTPS packet,,,,,,61,False
16:02:36.468,832,142.251.154.119,192.168.1.10,HTTPS,443,62899,1286,,HTTPS packet,,,,,,61,False
16:02:36.470,833,192.168.1.10,104.29.142.22,UDP,52281,19316,128,,UDP packet,,,,,,128,True
16:02:36.471,834,142.251.154.119,192.168.1.10,HTTPS,443,62899,1292,,HTTPS packet,,,,,,61,False
16:02:36.472,835,142.251.154.119,192.168.1.10,HTTPS,443,62899,1292,,HTTPS packet,,,,,,61,False
16:02:36.473,836,192.168.1.10,142.251.154.119,HTTPS,62899,443,78,,HTTPS packet,,,,,,128,False
16:02:36.476,837,142.251.154.119,192.168.1.10,HTTPS,443,62899,1292,,HTTPS packet,,,,,,61,False
16:02:36.477,838,192.168.1.10,104.29.142.22,UDP,52281,19316,170,,UDP packet,,,,,,128,True
16:02:36.479,839,142.251.154.119,192.168.1.10,HTTPS,443,62899,1292,,HTTPS packet,,,,,,61,False
16:02:36.483,840,192.168.1.10,104.29.142.22,UDP,52281,19316,96,,UDP packet,,,,,,128,True
16:02:36.484,841,142.251.154.119,192.168.1.10,HTTPS,443,62899,1292,,HTTPS packet,,,,,,61,False
16:02:36.485,842,142.251.154.119,192.168.1.10,HTTPS,443,62899,1292,,HTTPS packet,,,,,,61,False
16:02:36.487,843,142.251.154.119,192.168.1.10,HTTPS,443,62899,1292,,HTTPS packet,,,,,,61,False
16:02:36.488,844,192.168.1.10,142.251.154.119,HTTPS,62899,443,74,,HTTPS packet,,,,,,128,False
16:02:36.489,845,192.168.1.10,104.29.142.22,UDP,52281,19316,128,,UDP packet,,,,,,128,True
16:02:36.491,846,142.251.154.119,192.168.1.10,HTTPS,443,62899,1292,,HTTPS packet,,,,,,61,False
16:02:36.492,847,23.155.129.172,192.168.1.10,HTTP,80,60168,66,SYN ACK,"[SYN,ACK] Seq=3679411876 Ack=2050471177",,,,,,117,False
16:02:36.493,848,192.168.1.10,23.155.129.172,HTTP,60168,80,54,ACK,[ACK] Seq=2050471177 Ack=3679411877,,,,,,128,False
